observed_on,user_id,created_at,taxon_family_name,taxon_genus_name,taxon_species_name,broader,establishment_means
27/05/2022,2488549,2022-05-27 04:02:26 UTC,Fabaceae,Acacia,Acacia fimbriata,3.dicot,native
29/07/2022,2488549,2022-07-29 03:46:03 UTC,Fabaceae,Acacia,Acacia fimbriata,3.dicot,native
24/06/2023,2488549,2023-06-24 09:55:55 UTC,Fabaceae,Acacia,Acacia fimbriata,3.dicot,native
8/05/2020,2488549,2020-05-08 02:58:40 UTC,Fabaceae,Acacia,Acacia floribunda,3.dicot,native
5/08/2020,2488549,2020-08-05 06:21:58 UTC,Fabaceae,Acacia,Acacia floribunda,3.dicot,native
18/07/2021,2488549,2021-07-19 11:33:46 UTC,Fabaceae,Acacia,Acacia floribunda,3.dicot,native
30/07/2021,2488549,2021-07-30 07:06:04 UTC,Fabaceae,Acacia,Acacia floribunda,3.dicot,native
15/05/2022,2488549,2022-05-15 04:26:07 UTC,Fabaceae,Acacia,Acacia floribunda,3.dicot,native
11/08/2023,2488549,2023-08-11 11:56:57 UTC,Fabaceae,Acacia,Acacia floribunda,3.dicot,native
5/09/2023,3678274,2023-09-05 22:29:34 UTC,Fabaceae,Acacia,Acacia floribunda,3.dicot,native
24/04/2020,2488549,2020-04-24 03:46:33 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
26/04/2020,2488549,2020-04-26 08:47:12 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
1/05/2020,2488549,2020-05-01 06:10:11 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
2/05/2020,2488549,2020-05-02 08:28:38 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
11/06/2020,2488549,2020-06-11 06:52:57 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
3/10/2020,2488549,2020-10-03 10:02:35 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
22/01/2021,2488549,2021-01-22 00:08:46 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
19/11/2021,2488549,2021-11-20 02:23:21 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
31/12/2021,2488549,2021-12-31 09:29:08 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
31/12/2021,2488549,2021-12-31 09:29:09 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
31/12/2021,2488549,2021-12-31 09:29:09 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
10/03/2022,2488549,2022-03-10 10:40:08 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
23/06/2022,2488549,2022-06-23 04:04:02 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
23/06/2022,2488549,2022-06-23 04:07:44 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
24/07/2022,2488549,2022-07-24 04:18:56 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
28/12/2022,2488549,2022-12-28 02:17:23 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
28/12/2022,2488549,2022-12-28 02:28:48 UTC,Fabaceae,Acacia,Acacia hispidula,3.dicot,native
30/07/2021,2488549,2021-07-30 07:06:04 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
16/12/2021,2488549,2021-12-16 10:03:14 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
16/12/2021,2488549,2021-12-16 10:03:16 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
16/12/2021,2488549,2021-12-16 10:03:23 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
20/12/2021,3978426,2021-12-20 01:51:18 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
26/12/2021,2488549,2021-12-27 10:30:27 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
10/01/2022,2488549,2022-01-14 05:15:15 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
4/02/2022,2488549,2022-02-05 09:09:25 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
26/02/2022,2488549,2022-02-26 01:07:32 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
26/02/2022,2488549,2022-02-26 01:07:33 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
15/04/2022,2488549,2022-04-15 08:56:09 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
15/04/2022,2488549,2022-04-15 09:00:14 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
30/04/2022,1138587,2022-04-30 09:06:31 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
15/05/2022,2488549,2022-05-15 04:26:10 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
9/06/2022,2373989,2022-06-09 02:16:00 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
29/07/2022,2488549,2022-07-29 02:27:40 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
29/07/2022,2488549,2022-07-29 02:31:58 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
9/08/2022,2488549,2022-08-09 03:44:29 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
9/08/2022,2488549,2022-08-09 11:28:39 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
10/08/2022,2488549,2022-08-10 06:54:06 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
10/11/2022,2488549,2022-11-10 10:11:10 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
17/11/2022,2488549,2022-11-17 02:28:21 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
25/09/2022,4743351,2022-12-22 10:42:29 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
12/02/2023,4743351,2023-02-13 10:50:57 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
15/06/2023,2488549,2023-06-15 03:34:39 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
11/08/2023,6196075,2023-08-11 00:02:23 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
11/08/2023,4743351,2023-08-12 12:27:02 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
11/08/2023,4743351,2023-08-12 12:27:07 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
24/09/2023,1138587,2023-09-27 02:45:34 UTC,Fabaceae,Acacia,Acacia irrorata,3.dicot,native
18/08/2019,265090,2019-08-20 18:39:11 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
23/12/2019,2488549,2019-12-23 00:52:14 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
18/01/2020,2488549,2020-01-17 23:39:37 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
25/01/2020,2488549,2020-01-25 01:25:55 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
5/04/2020,2488549,2020-04-05 04:35:17 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
8/05/2020,2488549,2020-05-08 01:31:24 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
12/07/2020,2488549,2020-07-15 01:29:59 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
16/07/2020,2488549,2020-07-16 09:04:10 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
18/07/2020,2488549,2020-07-18 08:50:11 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
7/04/2020,3408787,2020-08-09 11:47:22 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
27/12/2020,2488549,2020-12-27 09:11:24 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
28/12/2020,2488549,2020-12-28 20:46:31 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
5/01/2021,2488549,2021-01-05 10:10:02 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
31/01/2021,2488549,2021-01-31 04:54:27 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
25/06/2021,2488549,2021-06-27 02:36:40 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
18/07/2021,2488549,2021-07-19 11:29:42 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
28/04/2021,4743351,2021-07-20 11:17:55 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
18/08/2020,4743351,2021-07-26 05:31:18 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
26/08/2021,2488549,2021-08-27 01:32:32 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
27/08/2021,4743351,2021-08-29 04:54:38 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
5/09/2021,2488549,2021-09-05 09:57:56 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
5/09/2021,2488549,2021-09-05 10:32:50 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
6/09/2021,4916136,2021-09-06 10:19:14 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
10/09/2021,2488549,2021-09-10 11:01:02 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
17/09/2021,2488549,2021-09-17 11:35:13 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
21/09/2021,4743351,2021-09-22 10:47:54 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
19/10/2021,4743351,2021-10-24 07:28:49 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
17/12/2021,2488549,2021-12-17 09:59:12 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
31/12/2021,2488549,2021-12-31 09:29:08 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
1/01/2022,265090,2022-01-01 19:11:30 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
4/02/2022,2488549,2022-02-05 09:09:28 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
13/02/2022,2488549,2022-02-13 04:11:58 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
13/02/2022,2488549,2022-02-13 08:49:34 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
16/05/2020,3408787,2022-02-15 16:38:06 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
16/05/2020,3408787,2022-02-15 17:50:52 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
21/02/2022,2488549,2022-02-21 08:41:53 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
21/02/2022,2488549,2022-02-21 08:42:00 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
9/02/2022,4916136,2022-02-26 06:41:00 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
10/03/2022,2488549,2022-03-10 10:40:06 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
10/03/2022,2488549,2022-03-10 10:40:07 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
13/04/2022,5084744,2022-04-13 01:46:56 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
16/04/2022,2488549,2022-04-16 06:31:28 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
16/04/2022,3751299,2022-04-16 10:28:10 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
28/04/2022,2488549,2022-04-28 06:27:23 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
30/04/2022,1138587,2022-04-30 08:39:48 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
30/04/2022,1138587,2022-04-30 09:48:58 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
22/05/2022,2488549,2022-05-22 11:46:20 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
4/06/2022,2488549,2022-06-04 08:14:41 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
9/06/2022,2488549,2022-06-09 04:16:36 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
23/06/2022,2488549,2022-06-23 04:05:22 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
26/06/2022,2322306,2022-06-27 09:28:13 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
29/07/2022,2488549,2022-07-29 03:32:33 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
14/08/2022,265090,2022-08-14 07:58:15 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
9/10/2022,6195722,2022-10-24 10:48:58 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
13/11/2022,2488549,2022-11-13 06:15:41 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
26/11/2022,4743351,2022-11-29 10:16:14 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
25/09/2022,4743351,2022-12-22 23:49:49 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
26/01/2023,2376854,2023-01-27 12:25:29 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
10/02/2023,1175154,2023-02-10 20:23:07 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
12/02/2023,74355,2023-02-12 00:18:45 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
12/02/2023,4743351,2023-02-13 10:50:54 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
26/02/2023,6190122,2023-02-26 07:26:30 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
12/03/2023,6566631,2023-03-12 05:27:54 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
9/03/2023,1658043,2023-03-13 07:22:33 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
25/03/2023,5439347,2023-03-25 02:32:32 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
5/04/2023,1809954,2023-04-06 22:54:28 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
17/04/2023,6308282,2023-04-17 02:35:56 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
17/04/2023,6308282,2023-04-17 02:47:05 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
25/05/2023,2488549,2023-05-25 08:57:02 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
22/06/2023,2488549,2023-06-22 03:39:37 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
24/06/2023,2488549,2023-06-24 09:55:56 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
16/07/2023,7001195,2023-07-16 06:14:13 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
16/07/2023,6310500,2023-07-16 06:14:38 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
16/07/2023,5315657,2023-07-16 06:16:23 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
11/08/2023,4743351,2023-08-12 12:27:01 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
11/08/2023,4743351,2023-08-12 12:27:06 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
28/08/2023,3678274,2023-08-28 13:24:23 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
14/09/2023,4203451,2023-09-14 02:23:19 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
5/09/2023,4743351,2023-09-14 11:56:19 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
20/09/2023,5435930,2023-09-25 12:15:13 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
24/09/2023,1138587,2023-09-27 01:50:04 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
24/09/2023,661392,2023-09-28 09:29:30 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
24/09/2023,661392,2023-09-28 09:37:38 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
8/10/2023,7143748,2023-10-08 05:41:03 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
16/09/2023,745089,2023-11-07 07:10:03 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
25/11/2023,3408787,2023-12-07 12:57:56 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
17/09/2023,745089,2023-12-09 05:39:10 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
17/09/2023,745089,2023-12-10 01:19:08 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
17/12/2023,1305186,2023-12-17 12:07:23 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
3/02/2024,3879229,2024-02-03 05:47:13 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
10/02/2024,1138587,2024-02-10 07:12:38 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
11/02/2024,4672448,2024-02-11 03:51:23 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
20/02/2024,4743351,2024-02-20 23:21:14 UTC,Fabaceae,Acacia,Acacia linifolia,3.dicot,native
24/05/2020,2488549,2020-05-24 03:56:07 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
11/06/2020,2488549,2020-06-11 06:47:09 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
15/06/2020,2488549,2020-06-15 06:55:31 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
15/06/2020,2488549,2020-06-15 07:23:34 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
23/06/2020,2488549,2020-06-23 05:15:23 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
23/06/2020,2488549,2020-06-23 05:52:50 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
23/06/2020,2488549,2020-06-23 06:46:09 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
7/07/2020,3030240,2020-07-08 02:58:07 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
9/07/2020,2488549,2020-07-09 12:35:31 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
9/07/2020,2488549,2020-07-09 12:53:39 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
12/07/2020,2488549,2020-07-15 01:25:16 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
15/07/2020,3299714,2020-07-15 06:00:42 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
15/07/2020,2488549,2020-07-15 07:03:52 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
18/07/2020,2488549,2020-07-18 08:43:18 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
18/07/2020,2518052,2020-07-20 11:31:39 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
24/07/2020,2488549,2020-07-24 11:45:31 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
20/07/2020,793005,2020-08-03 02:21:59 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
12/08/2020,2488549,2020-08-12 02:56:11 UTC,Fabaceae,Acacia,Acacia longifolia,3.dicot,native
